GID,NUMSTAT,IDENT,ADRESSE,COMMUNE,DATESERV,LIGNCORR,NBSUPPOR,NOM,TARIF,TERMBANC,TYPEA,GEOM_O,CDATE,MDATE
477,155,310,Face au 10 rue Naudet,GRADIGNAN,,58/Lianes 10,24,Village 6 IUT,VLS PLUS,OUI,VCUB,0,20140923100652,20140923100652
478,140,283,120 rue de la Béchade,BORDEAUX,,24/Citéis 41/Lianes 8,20,Charles Perrens,VLS,OUI,VCUB,0,20140923100652,20140923100652
479,120,6,face au 196 cours St Louis,BORDEAUX,,Lianes 4/Corol 32,18,Saint Louis Haussmann,VLS,OUI,VCUB,0,20140923100652,20140923100652
480,25,37,97 rue François de Sourdis,BORDEAUX,,24/26,14,Rue F. de Sourdis,VLS,OUI,VCUB,0,20140923100652,20140923100652
481,21,34,1 place Puy Paulin,BORDEAUX,,B/Citéis 47,15,Puy Paulin,VLS,OUI,VCUB,0,20140923100652,20140923100652
482,1,16,"rue Claude Bonnier, niveau station tram",BORDEAUX,,A/Lianes 16,20,Meriadeck,VLS,OUI,VCUB,0,20140923100656,20140923100656
483,3,19,167 rue Judaïque,BORDEAUX,,Lianes 1/Lianes 16,18,Place Tartas,VLS,OUI,VCUB,0,20140923100656,20140923100656
484,8,23,120 cours Maréchal Juin,BORDEAUX,,A/26,20,Patinoire,VLS,OUI,VCUB,0,20140923100656,20140923100656
485,7,22,18 cours du Maréchal Juin,BORDEAUX,,A/Lianes 15/Lianes 16/Lianes 4/Lianes 5/Lianes 6/56 exp,18,Palais de Justice,VLS,OUI,VCUB,0,20140923100656,20140923100656
486,9,24,206 rue d'Ornano,BORDEAUX,,A,20,Gavinies,VLS,OUI,VCUB,0,20140923100656,20140923100656
487,17,31,1 rue Emile Fourcand,BORDEAUX,,26,14,Palais Gallien,VLS,OUI,VCUB,0,20140923100656,20140923100656
488,44,53,16 cours Pasteur,BORDEAUX,,B/24/Citéis 45,20,Musee d'Aquitaine,VLS,OUI,VCUB,0,20140923100656,20140923100656
489,29,40,Place de l'Eglise St Augustin,BORDEAUX,,Citéis 42/Lianes 11/Citéis 41,20,St Augustin,VLS,OUI,VCUB,0,20140923100656,20140923100656
490,43,52,9 rue Ravez,BORDEAUX,,A/Citéis 47,18,St Paul,VLS,OUI,VCUB,0,20140923100656,20140923100656
491,35,44,209 rue Fondaudège,BORDEAUX,,29/56 exp/Lianes 5/Lianes 6,16,Pl. Marie Brizard,VLS,OUI,VCUB,0,20140923100656,20140923100656
492,60,69,face au 1 allées de Chartres,BORDEAUX,,B,20,Allees de Chartres,VLS,OUI,VCUB,0,20140923100656,20140923100656
493,38,47,16 place Charles Gruet,BORDEAUX,,26/29/Lianes 5/Lianes 6,16,Pl. Charles Gruet,VLS,OUI,VCUB,0,20140923100656,20140923100656
494,143,284,En face du 46 rue Domion,BORDEAUX,,Lianes 3,18,Pins Francs,VLS,OUI,VCUB,0,20140923100656,20140923100656
